content,link,title
"Americans in Belgium were ordered “to shelter in place” Saturday after local authorities warned that the threat of a terrorist attack in the country’s capital is serious and imminent.
The U.S. Embassy in Brussels also ordered American citizens to remain at home as the city was placed on lockdown in response to the terrorist threat. The national crisis center raised its terrorism alert Saturday to its highest level as Belgian police continued to search for a suspect in the Paris attacks that killed 130 people.
In a statement on its website Saturday the embassy informed Americans that “if you must go out, avoid large crowds.”
The warning also urged U.S. citizens to “exercise caution in public transportation systems, sporting events, residential areas, business offices, shopping malls and other tourist destinations.”
Belgian leaders raised the terrorism alert to Level 4, which indicates a “serious and immediate threat.” 
Prime Minister Charles Michel said the decision to raise the alert level was taken ""based on quite precise information about the risk of an attack like the one that happened in Paris...where several individuals with arms and explosives launch actions, perhaps even in several places at the same time.""
Authorities across Europe, the Middle East and Washington are trying to determine how a network of French and Belgian nationalists with links to Islamic extremists in Syria plotted and carried out the deadliest violence in France since World War II – and how many may still be on the loose.
Brussels was home to the suspected organizer of the Nov. 13 terror attacks, Abdelhamid Abaaoud, and Belgium has filed charges of “participation in terrorist attacks and participation in the activities of a terrorist organization” against three suspects relating to the Paris attacks.
Heavily armed police and soldiers patrolled key intersections of the Belgian capital Saturday morning, a city of more than 1 million that is home to the headquarters of the European Union, the NATO alliance and officers of many multinational corporations. Residents were recommended to avoid gatherings, train stations, airports and commercial districts. Service was halted on the Brussels Metro, as well as on streetcar lines that run underground, and residents were urged to stay indoors.
A new potential link emerged Saturday in Turkey, where authorities detained a suspected ISIS militant from Belgium who was believed in contact with the Paris attackers.
Ahmet Dahmani, 26, a Belgian of Moroccan descent, was detained with two other suspected ISIS militants. A senior Turkish government official told the Associated Press Dahmani was believed to have been in contact with the Paris attackers but the official did not say when. Dahmani arrived in Turkey Nov. 14 from Amsterdam and the three were preparing to cross into Syria, the official said.
Parisians across the French capital honored the 130 victims Friday night with candles and dancing, marking one week since attackers opened fire on sidewalk cafes and exploded suicide vests at the national stadium and an iconic rock venue.
Prosecutors said Friday that they had determined through fingerprint checks that two of the seven attackers who died in the bloodshed Nov. 13 had entered Europe through Greece, an entry point for many of the hundreds of thousands of migrants seeking asylum in Europe.
The five other attackers who died had links to France and Belgium. One of the seven dead has not been identified, while a manhunt is underway for one suspect who escaped, Salah Abdeslam, 26. French police stopped Abdeslam the morning after Friday's attacks at the Belgian border but then let him go.
French officials said Saturday they could not ascertain for certain whether Abdeslam might be in France or Belgium. His brother Brahim, blew himself up in the Paris attacks.
The suspected ringleader, Abdelhamid Abaaoud, was killed in a raid early Wednesday on an apartment in the Paris suburb of Saint-Denis, along with Hasna Aitboulahcen, a 26-year-old woman who officials said had described herself as Abaaoud's cousin. Prosecutors said Friday that a third person was killed in the raid but did not release the identity.
They also said Aitboulahcen had not blown herself up with a suicide vest, as it was initially believed, which suggests the body parts collected in the rubble after Wednesday’s anti-terror raid belonged to a third person who has yet to be identified.
Marking a week since the carnage, some Parisians lit candles and paid tribute to the victims with silent reflection. Others decided that enjoying themselves was the best way to defy the extremists. They sang and danced on Place de la Republique, in the heart of a trendy neighborhood where scores of people were killed, most of them in the attack on the Bataclan concert hall.",http://www.foxnews.com/world/2015/11/21/belgium-raises-terror-alert-to-highest-level-in-brussels/,US embassy warns Americans to stay home as Belgium raises terror alert to highest level
"Japan attacked the U.S. twice in the year after Pearl Harbor, pictured here.
Japan conducted a surprise attack at Pearl Harbor, Hawaii on Dec. 7, 1941 that ultimately brought the United States into World War II.
What most people don’t know is that Japan conducted two surprise attacks on the U.S. mainland less than a year later, with the goal of starting wildfires. Now known as the Lookout Air Raids, beginning on Sep. 9, 1942, a Japanese submarine surfaced off the coast of Oregon, assembled a seaplane, and pilot Nobuo Fujita took off toward the Oregon forests.
Here’s what happened next, 
 to the Los Angeles Times:
At 6:24 a.m. Mr. Howard Gardner, a forestry service observer on Mt. Emily reported seeing an unidentified seaplane come from the west, circle and return toward the sea. He described the plane as a single-motored biplane with a single float and small floats on the wing tips. The plane appeared to be small and of slow speed. It had no lights, no distinct color and no insignia was visible. It is possible that a plane of this type might have been carried on a submarine.
Fortunately, it wasn’t the best time to start a fire since the area was so damp. While Fujita did successfully drop 
, it didn’t turn into the hoped-for wildfires that would take valuable resources away from the war effort.
Three weeks later, Fujita gave it another try with two more bombs, and once again, he was unsuccessful.
In his obituary in 1997, The New York Times 
:
A quiet, humble man who in his later years was deeply ashamed of his air raids on the United States, Mr. Fujita eventually forged a remarkable bond of friendship with the people of Brookings, the small logging town whose surrounding forests he had bombed. Last week, as he lay dying, the town council of Brookings hailed Mr. Fujita an ”ambassador of good will” and proclaimed him an ”honorary citizen” of the town.
His mission was unsuccessful but he was hailed as a hero back in Japan. And Fujita did earn his place in history as the pilot flying the only enemy aircraft that has ever bombed the U.S. mainland.",http://www.foxnews.com/us/2015/11/19/japan-bombed-us-mainland-during-world-war-ii-hoping-to-start-forest-fire/,Japan bombed the US mainland during World War II hoping to start a forest fire
"Two high-ranking officials at the Department of Veterans Affairs were demoted Friday in response to allegations that they manipulated the agency's hiring system for their own gain.
The VA said in a statement that Diana Rubens and Kimberly Graves were demoted from senior executives — the highest rank for career employees — to general workers within the Veterans Benefits Administration.
Rubens was director of the Philadelphia regional office for the VBA, while Graves led the St. Paul, Minnesota, regional office.
The VA's acting inspector general said in a report this fall that Rubens and Graves forced lower-ranking regional managers to accept job transfers against their will. Rubens and Graves then stepped into the vacant positions themselves, keeping their pay while reducing their responsibilities.
Rubens and Graves refused to testify to Congress earlier this month, telling lawmakers they were asserting their Fifth Amendment rights to protect themselves against self-incrimination.
Before taking the regional jobs, Rubens was a deputy undersecretary at the VA's Washington headquarters, while Graves was director of VBA's 14-state North Atlantic Region.
Rubens and Graves kept their salaries of $181,497 and $173,949, respectively, in their new positions, even though they had less responsibility and a lower pay range than their previous positions.
Rubens grew up near Philadelphia, while Graves has family in Minnesota, the IG's report said.
In addition to naming themselves to vacancies, Rubens and Graves obtained more than $400,000 in questionable moving expenses through a relocation program for VA executives, the IG's report said. The two face possible criminal prosecution.
The relocation program has since been suspended, the VA said in congressional testimony this month.
Rep. Jeff Miller, R-Fla., chairman of the House Veterans Affairs Committee, said Rubens and Graves ""clearly should have been fired,"" adding that, ""for those wondering whether VA is committed to real accountability for corrupt employees, VA leaders answered that question (Friday) with a resounding 'no.'""
The VA's failure to fire Rubens and Graves ""gives me no hope the department will do the right thing and take steps to recover the more than $400,000 in taxpayer dollars Rubens and Graves fraudulently obtained,"" Miller said. ""The millions of American veterans who depend on VA and the hundreds of thousands of VA employees who are dedicated professionals deserve better than this broken status quo.""
Dale Barnett, national commander of the American Legion, said the VA's failure to fire Rubens and Graves was ""an insult and a disgrace to all veterans. Any promises that VA officials make about accountability in the future need to be taken with a grain of salt.""
Allison Hickey, the former head of the Veterans Benefits Administration, resigned in October amid criticism of a backlog in disability claims and questions about her role in the transfers obtained by Rubens and Graves. The IG's report said Hickey and other top VA officials may have encouraged the scheme.
Two representatives for the VA did not immediately respond to requests for comment.
___
Follow Matthew Daly: http://twitter.com/MatthewDalyWDC",http://www.foxnews.com/us/2015/11/20/2-high-ranking-va-officials-demoted-amid-allegations-manipulated-agency-hiring/,2 high-ranking VA officials demoted amid allegations they manipulated agency's hiring system
"Leaders of Southeast Asia will formally declare their diverse region is now an economic community that in some ways resembles the European Union, but they have a long way to go before the project becomes fully functional. The declaration will be made at a weekend summit that will also focus on the long-seething maritime rifts in the South China Sea and terrorism.
The 10 leaders of the Association of Southeast Asian Nations, or ASEAN, will also hold talks with their counterparts from eight other countries, including President Barack Obama. A look at the key topics in the meetings:
ASEAN COMMUNITY
ASEAN leaders will on Sunday formally launch the ASEAN Community that has been 10 years in the making, encompassing three key pillars: economic, political-security and socio-cultural. It will become a formal entity on Dec. 31.
The transformation of the disparate region into a unified market forms the core of the community. The ASEAN Economic Community, or the AEC as it is known, is aimed at bolstering the region's economic clout and counterbalance a rising China and an America that is increasingly assertive in Asia. It goes beyond liberalizing trade in goods. Services, investment, skilled labor and capital will also be allowed to move across borders more freely, a landmark step in economic cooperation for the region.
In one key development, easing restrictions on work visas will make it easier for people from one country to seek employment in another, but so far it applies only to eight professions, including medical, accounting, engineering and tourism.
WHO ARE IN THE COMMUNITY?
Its members are the 10 ASEAN countries with a total population of more than 600 million people, larger than either the European Union or North America. ASEAN was set up in 1967 as a bulwark against communism in the Cold War era but it was only in the last two decades that attention shifted to economic integration. A wide economic gulf divides Southeast Asia's rich and middle income economies — Malaysia, Indonesia, Singapore, Brunei, Thailand and the Philippines — and its four less developed members, communist Vietnam and Laos, Myanmar and Cambodia.
FUNDAMENTALS
Unlike the European Union, the 10 members will maintain their economic and financial independence. There will be no central agencies such as a common central bank, parliament or court as in Europe, and no common currency. The AEC is based more on consensus than creating overarching institutions that take on some of the powers of member governments.
Changes will not be abrupt because many of the targets have been implemented gradually over the last five years. While tariff on most goods traded in the region have been largely eliminated, ASEAN still falls short on more politically sensitive areas of reform such as opening up protected sectors like agriculture, steel and motor vehicles. Intra-regional trade has remained at around 24 percent for the last decade, far lower than 60 percent in the EU.
CHALLENGES
The Asian Development Bank in a research paper earlier this year warned that creating a fully functional economic community by Dec. 31 is impossible. Southeast Asian officials however, stress that the formation of the AEC is not the destination but a journey to deeper integration. They say more work is required on domestic reforms, infrastructure and strengthening skills. Efforts must also be made to address trade and investment impediments, non-tariff barriers and other regulatory hindrances that are increasingly replacing tariffs as protective measures for some industries. At the same time, government corruption and unreliable courts in the region also create roadblocks to trade because they make contracts hard to enforce.
SOUTH CHINA SEA
The maritime conflict in one of the world's busiest waterways has long been a sore point in the region. China claims most of the South China Sea, creating a fault-line in relations with its regional neighbors. Taiwan and ASEAN members Brunei, Malaysia, the Philippines and Vietnam also have overlapping claims across the sea. The Philippines and Vietnam in particular have been at odds with China over the region in recent years, with diplomatic squabbles erupting over oil and gas exploration and fishing rights.
Through land reclamation, China has created artificial islands from reefs to bolster its claims. Earlier this week, Obama renewed calls for China to halt land reclamation, construction and militarization in the disputed area, and is expected to repeat the same message at the Kuala Lumpur meetings.
FIGHT AGAINST TERROR
ASEAN and its partners are expected to increase commitment and cooperation in the war against terrorism following last Friday's deadly attacks by the Islamic State extremist group in Paris, which killed at least 129 people and wounded hundreds.
Malaysian Deputy Prime Minister Zahid Hamidi this week voiced concerns that the simultaneous bombings at a stadium, concert hall and cafes in Paris could spark copycats in the region. Security measures have been enhanced for the regional summits in Kuala Lumpur, with checks stepped up at all entry and exit points to the country. Some 10,000 police and army personnel have been deployed at the meeting venue, hotels and other strategic locations in the city. The U.S., China and Russia have been given permission to bring their own armed security teams.
REAL THREAT
Zahid said a leaked police circular outlined the presence of a regional terrorist network, Daulah Nusantara, that aims to take over Southeast Asia. It involves two Philippines Muslim rebel groups and the Islamic State.
Zahid, who is also home minister, said Malaysian authorities have detected their plans earlier and taken action to prevent the group from carrying out any attacks. Police in Malaysia, Indonesia, Thailand and several other countries are working together to thwart the group, he added.
National Police Chief Khalid Abu Bakar said in a statement late Thursday that reports of imminent terrorist threats in Malaysia have yet to be confirmed but security forces are taking all possible precautions.",http://www.foxnews.com/world/2015/11/19/formation-economic-union-sea-row-and-terrorism-top-agenda-southeast-asian/,"Formation of economic union, sea row and terrorism top agenda of Southeast Asian summit"
"France called Friday on its European Union partners to take immediate and decisive action to toughen the bloc's borders and prevent the entry of more violent extremists.
""We can't take more time. This is urgent,"" Interior Minister Bernard Cazeneuve said.
One week after the coordinated attacks claimed by Islamic State that killed 129 people in Paris, Cazeneuve and the other EU interior and justice ministers opened an emergency meeting on the next steps to take to prevent more bloodshed. France and Belgium were expected to urge their EU partners to tighten gun laws, toughen border security and choke off funds to extremist groups.
""Terrorists are crossing the borders of the European Union,"" said Cazeneuve, underlining why the 28-nation bloc must move forward on a long-delayed system for collecting and exchanging airline passenger information. That system would allow the EU to better track extremists and foreign fighters coming and going from Syria and Iraq, he said.
Britain's interior minister, Theresa May, said the EU must quickly implement beefed-up border security measures already agreed on, saying there was a clear link between tightened borders and the safety of Europeans.
Ministers, however, were not expected to order any new measures that could be immediately introduced. Documents prepared for the meeting and seen by The Associated Press indicate the ministers instead will try to push forward on priorities already identified, but not acted on, by EU leaders following an earlier round of lethal attacks in Paris on a satirical newspaper and a kosher grocery in January.
The narrative provided by French officials on the brazen and carefully coordinated attacks a week ago on France's national stadium and Paris cafes, restaurants and a theater raises disturbing questions about how a wanted militant already suspected of involvement in multiple plots could slip into Europe undetected.
French investigators quickly identified Belgian-born Abdelhamid Abaaoud, 28, as the architect of the attacks in Paris, but believed he had coordinated the assaults against a soccer stadium, cafes and a rock concert from the battlefields of Syria.
That situation changed drastically on Monday when France received a tip from a non-European country that Abaaoud had slipped back into Europe through Greece, Cazeneuve said Thursday.
""It was a big surprise when the intelligence came in,"" one French police official told AP, speaking on condition of anonymity because the information was sensitive. ""There were many people who didn't take it seriously, but effectively it was confirmed.""
How and when Abaaoud entered France before his death remained unclear. He had bragged in the Islamic State group's English-language magazine that he was able to move in and out of Europe undetected.
As it turned out, not only was Abaaoud in Europe, but right under the noses of French investigators, a 15-minute walk from the Stade de France stadium where three suicide bombers blew themselves up during the Nov. 13 attacks that also wounded hundreds.
Paris prosecutor Francois Molins said Abaaoud was traced to the apartment in Saint-Denis through phone taps and surveillance. Following a lengthy police assault, the suspected plot ringleader and his cousin both died in a hail of bullets and explosions.
The Paris prosecutor's office says that a third body — of an unidentified woman — was found overnight in the apartment.
The whereabouts of another suspected accomplice remains unclear, France's national police chief said Friday.
Jean-Marc Falcone, speaking on France-Info radio, said he was unable to say if Salah Abdeslam, a friend of Abaaoud, could be back on French territory.
""We can't say anything about the exact geographic situation of that individual,"" he said.
European officials earlier acknowledged that French police stopped Abdeslam the morning after Friday's attacks at the Belgian border but then let him go. His brother Brahim was one of the Paris suicide bombers.
Authorities initially gave Abaaoud's age as 27, but on Thursday Paris prosecutors said he was 28. News of his death seemed to ease some tension in a country deeply shocked by the attacks.
""We now know that Abaaoud, the brain behind these attacks — one of the brains, because we must be particularly cautious, and we know what the threats are — was among the dead,"" Prime Minister Manuel Valls told the lower house of the French Parliament.
On Friday French President Francois Hollande's office said he will lead a national ceremony Nov. 27 honoring the victims of the deadliest attacks on France in decades. The ceremony will be held at the gold-domed Hotel des Invalides, where Napoleon's tomb lies and which is seen as a symbol of France's military and international strength.
Of the more than 350 people wounded in the attacks, scores are in critical condition, and medical authorities have warned that the death toll is likely to rise.
Under gray skies and rain, Paris on Friday marked a week since the bloodbath with silence and reflection.
Most demonstrations have been banned in the city since the attacks, but Parisians have been spontaneously gathering all week outside the restaurants, cafes and concert halls hit in the attacks to leave flowers, light candles or hold quiet vigils.
A demonstration planned Friday at France's oldest mosque to show inter-community solidarity after the attacks was canceled for security concerns.
Next week Hollande is going to Washington and Moscow to push for a stronger international coalition against IS. French military spokesman Col. Gilles Jaron said Thursday that French forces have destroyed 35 Islamic State targets in Syria since the attacks on Paris.
__
Corbet reported from Paris. Thomas Adamson, Samuel Petrequin, Angela Charlton, Lori Hinnant, and Jamey Keaten in Paris; John-Thor Dahlburg in Brussels and Bassem Mroue also contributed.",http://www.foxnews.com/world/2015/11/20/france-seeks-european-partners-aid-to-stanch-inflow-extremists/,France seeks European partners' aid to stanch inflow of extremists
"The Israeli Government Press Office said Ezra Schwartz from Sharon, Mass., died in the attack on Thursday. 
Schwartz, who was spending his gap year in Israel, was reportedly on his way to deliver food to Israeli soldiers when he was gunned down.
Schwartz studied in a Jewish seminary outside Jerusalem and had come to the country on Masa, a program that brings young Jews from abroad to live in the country, according to a statement distributed by the press office.
""Ezra came to Israel not only to study but also to be a part of the vibrant Israeli experience. This makes his death even more tragic,"" said Natan Sharansky, chairman of the Jewish Agency, which works closely with the government to promote Jewish immigration to Israel.
Ezra Schwartz, a 2015 graduate of the Maimonides School.
Schwartz graduated this year from the Maimonides School in Brookline, Massachusetts. Maimonides said the school community was ""profoundly saddened"" and mourned his death.
The shooting and a separate, earlier knife attack in Tel Aviv Thursday left at least five people dead, and two suspects – both identified as Palestinians -- were in custody, according to Israeli media reports.
The attacks took place a day after the 
 of five worshippers -- including three Americans -- inside a Jerusalem synagogue by two Palestinians armed with meat cleavers and a gun.
In the West Bank, at least three people were killed and three others were wounded after a Palestinian terrorist opened fire from his vehicle on cars stuck in a traffic jam in Gush Etzion, the Jerusalem Post reports. One of the other West Bank victims who died was an Israeli man in his 50s, a father of four according to local media.
The 
 that a second Palestinian terrorist was involved in the attack.
""Whoever condemned the attacks in France needs to condemn the attacks in Israel. It’s the same terror.""
- Israel Prime Minister Benjamin Netanyahu
Paramedics pronounced an 18-year-old American tourist dead at the scene, the Jerusalem Post reported. His identity was not immediately released. The Israeli man died after being taken to a hospital, and a third victim has been identified as a Palestinian bystander.
The other people injured in the shooting are being treated at the Shaare Zedek Medical Center in Jerusalem. Some of the wounded are Americans, Israeli media added.
“The murderous terror has struck Gush Etzion and Tel Aviv,"" Prime Minister Benjamin Netanyahu said, according to Ynetnews. ""My heart is with the families of the murdered and I send my wishes for a speedy recovery to the wounded. Whoever condemned the attacks in France needs to condemn the attacks in Israel. It’s the same terror. Whoever does not do this is a hypocrite and blind.”
Nov. 19, 2015: The scene of a stabbing attack in Tel Aviv.
Israeli media reported that one terrorist continued driving after shooting at a car, slamming into another vehicle. He then exited his vehicle and tried to fire more shots but was met with return fire from Israeli security forces and was taken into custody, according to the Jerusalem Post.
Earlier in the day, a Palestinian man was arrested after stabbing and killing two Israelis and wounding another who were engaged in mid-day prayers, Israeli media reported.
The attacker was arrested after being partially subdued by a civilian. Authorities identified him as Raed Khalil bin Mahmoud, a 36-year-old father of five from the West Bank city of Dura. He revealed to investigators that he works at a restaurant in Jaffa, 
.
The violence unfolded at the Panorama office building and shopping center in southern Tel Aviv. Authorities said the assault started at a shop where people were engaged in mid-day prayers.
Nov. 19, 2015: Israeli police arrest a Palestinian identified as Raed Khalil bin Mahmoud, a 36-year-old from the West Bank village of Dura in Tel Aviv, Israel.
""We were praying, when suddenly a man keeled over. Blood was spurting everywhere,"" 
. The news agency reported that the attack took place in the building of its local bureau and all staff members are safe.
The attacker then went to a lower floor and continued his spree until a civilian hit him with a metal pipe, the Algemeiner adds.
Police arrested the man and began an interrogation in a nearby shop.
One victim of the attack died at the scene. Another victim was evacuated and later died at the Tel Aviv Sourasky Medical Center, while a third victim was still being treated there for torso wounds, the Algemeiner reports.
Israel's military said the Hamas militant group, on Twitter, praised the attack.
Also on Thursday, three Palestinian women tried to infiltrate an Israeli military post in the West Bank, but were stopped and found with three knives in their possession, 
.
The attacks Thursday are the latest in a two month-long outburst of Israeli-Palestinian violence, stemming from tensions over a Jerusalem holy site.",http://www.foxnews.com/world/2015/11/19/at-least-5-dead-in-west-bank-and-tel-aviv-terrorist-attacks/,"At least 5 dead, including American tourist, in West Bank and Tel Aviv terrorist attacks"
"The suspected mastermind of last week's Paris massacre, and some of the other attackers, had exploited the Syrian refugee crisis to slip into France unnoticed, Prime Minister Manuel Valls revealed Friday, the same day the French Senate approved extending the nation's state of emergency by three months.
It also emerged that Abdelhamid Abaaoud may have even taken part in the attacks on the ground in Paris, as a French security official said a surveillance camera captured the alleged ringleader inside a nearby subway station as the massacre unfolded. Valls also said another person died from the attacks, bringing the total number of dead to 130.
A third body was found after Wednesday's apartment raid north of Paris that left Abaaoud and his cousin dead, the French prosecutor's office reported Friday. A police source told Agence France-Presse the cousin, Hasna Aitboulahcen, did not blow herself up, as was previously reported. The suicide bomber was a man, the source said.
Abaaoud was seen at the Croix de Chavaux metro station in the suburb of Montreuil at 10:14 p.m. on Nov. 13, the French security official told The Associated Press. The black Seat car used in the attacks was found abandoned near the subway station, investigators say.
Valls said some of the Paris attackers had taken advantage of the massive influx of migrants into Europe escaping war in the Middle East.
""These individuals took advantage of the refugee crisis... of the chaos, perhaps, for some of them to slip in"" to France, he told French TV. ""Others were in Belgium already. And others, I must remind you, were in France.""
Police now turn their attention to two other suspects who are believed to have participated in the attacks. Police have identified one of them as Salah Abdeslam, who grew up in the same Belgian district as Abaaoud, the Brussels suburb of Molenbeek.
There was no indication Abdeslam escaped to neighboring Spain or tried to do so, Spanish Interior Miniister Jorge Fernandez Diaz said. He told Antena 3 television that security officials from several countries were called together in Paris to discuss the possibility that Abdeslam might try to cross into a country bordering France.
Spanish police say French authorities sent a bulletin to officers across Europe asking them to watch out for a Citroen Xsara car that could be carrying Abdeslam.",http://www.foxnews.com/world/2015/11/20/france-pm-says-paris-attacks-ringleader-used-migrant-crisis-to-get-into-country/,"Paris massacre ringleader used migrant crisis to get into France, PM says"
"Authorities in the Dutch Caribbean island of St. Maarten say they have detained three Syrians traveling with fake Greek passports.
The public prosecutor's office said Saturday that the Syrians were detained Nov. 14 and that the investigation is continuing. Officials said the three have not asked for asylum, but they do not believe the Syrians are tied to any terrorist groups.
Spokesman Norman Serphos told The Associated Press that the three men came on an Insel Air flight from Haiti. No further details were available.
Officials said the Syrians had traveled from Europe then stopped in Brazil, the Dominican Republic and Haiti before entering St. Maarten. It is unclear where they were headed.
Authorities said similar routes have been used by other Syrians arrested in neighboring countries.",http://www.foxnews.com/world/2015/11/21/official-3-syrians-with-fake-passports-detained-in-dutch-caribbean-island-st/,Official: 3 Syrians with fake passports detained in Dutch Caribbean island of St. Maarten
"Israeli border police search a Palestinian, next to newly placed concrete blocks in an east Jerusalem neighborhood, last month. (AP Photo/Oded Balilty)
As the grip of terror tightens on Europe, a blueprint for existing with an unrelenting threat lies to the east, where Israelis have become accustomed to metal detectors, armed guards, spot searches and long lines.
No nation has faced more security challenges in the face of unrelenting terrorism than Israel, and now the Jewish state's methods could light the way for Europe now that much of the continent finds itself awash in refugees and under threats from ISIS. But emulating Israel will not be cheap or convenient, and can never completely eliminate the risk of an attack -- anytime and anywhere. 
""Israel has the determination [to secure its citizens] but it is also a question of financial considerations, too,"" Efraim Inbar, professor of political studies at Bar-Ilan University in Tel Aviv, told FoxNews.com. ""They put a lot of money into the security services. We have guards checking shoppers, passengers. It's a big system. Some people might find it offensive in terms of living in a democracy, but this is what is needed.""
Rifle-toting guards at shopping malls and train stations, compulsory ID cards and a host of other highly visible security measures are all part of daily life in Israel. Not as readily apparent is a well-resourced internal and external intelligence community with tentacles everywhere. The extensive security apparatus comes at a significant cost in high taxes, but Israelis see it as the only alternative in the face of a daily threat from Islamic extremism, a threat with which the West is increasingly coming to grips.
""Some people might find it offensive in terms of living in a democracy, but this is what is needed.""
- Efraim Inbar, professor of political studies at Bar-Ilan University
""If the West continues to delude itself about the scale of the challenge, those who delight in the divine gift of life will find themselves becoming increasingly constrained and terrified by those who assert an imperative to kill and be killed in the name of God,"" David Horovitz noted in Sunday's Times of Israel.
Parisians are still reeling from Friday's coordinated attacks, which killed at least 129 and followed the Charlie Hebdo attack in January. With a wave of hundreds of thousands of refugees pouring into European cities from the war-ravaged Middle East, international law enforcement experts fear ISIS may have planted terror cells among the desperate masses. The terror organization has already said it would do exactly that.
Israelis were also once reluctant to submit to searches and encounter metal detectors at malls and government buildings, but in the face of an unrelenting terror threat, such inconveniences have become part of life. (AP)
While Western nations and constitutional democracies value freedom and individual rights above all else, Israel learned the hard way that compromises must be made to keep people safe. The target of numerous radical Islamic militant organizations -- including ISIS and Hamas -- as well as states sponsoring terrorism, such as Iran, the Jewish state changed its mindset after suffering a wave of Palestinian suicide bombings during the late-1990s and early 2000s that cost many hundreds of lives – among them dozens of U.S. citizens – and maimed many more.
It is currently experiencing, but containing, a sustained wave of terror attacks emanating mainly from 
. There have been a series of cases in the past few weeks where terrorist attackers have been ""neutralized"" by members of the public, as well as those in which police, the army, or security services reacted fast to eliminate terrorists involved in random attempts to kill innocent citizens. The cost of defending Israel -- from both foreign and internal enemies -- is staggering. By the most modest estimates, Israel spends a whopping 5.2 percent of its gross domestic product on defense, some 50 percent more per capita than the U.S., 
.
Nations such as France, the United Kingdom and Germany typically spend 2 percent or less of GDP on defense, a number that could soar if Israeli-style measures are deemed necessary to guard against terror.
""I am not sure that Europe is ripe for it, and I am not sure they have the political determination to change,"" Inbar said. ""There is no foolproof system though, and Europeans (as well as Americans) have to learn to live with this [terror] phenomenon. Israel is not always successful in preventing terrorism. This is part of life in these times.""
Strict security and proportionately high expenditure on defense and internal security are things Israelis earnestly wish they could live without, but painful experience has meant having to change. Many in Europe and beyond still seem reluctant to make those changes, fearing the erosion of some civil liberties -- despite the heavy loss of life in Paris last weekend -- and the prospect, according to many experts, of more terrorist attacks to come on mainland Europe.
""I think the experience of our security services is very valuable and many do come and learn from us in terms of defending installations, including airports,"" Inbar said. ""The basic change however has to come in terms of the public atmosphere, what should be done about this, and this is something the Europeans have to do on their own.""",http://www.foxnews.com/world/2015/11/18/future-security-israeli-model-shows-high-cost-living-with-terror-threat/,Future of security: Israeli model shows high cost of living with terror threat
,http://www.foxnews.com/category/world/world-regions,
